,personId,n_shots,p50_lateral_dev,p95_lateral_dev,mean_lateral_dev,std_lateral_dev,p75_lateral_dev,p90_lateral_dev,max_lateral_dev
71,1630643,2,18.086788578648743,19.5070009393108,18.086788578648743,0.36735479274489125,18.21666811117439,18.294595830689776,18.346547643700035
72,1630692,1,15.952777736721169,17.748152827870527,15.952777736721169,,15.952777736721169,15.952777736721169,15.952777736721169
73,1631093,2,18.78617274493383,20.290839258292674,18.78617274493383,0.13602579821070124,18.834265127099382,18.863120556398712,18.88235750926493
74,1631096,4,19.415785485163465,18.472447853909287,18.810732367339146,2.023815794077787,19.84777900392296,20.252748232651328,20.52272771847024
75,1631097,3,18.424458397855588,19.941437190891246,18.365748645973692,0.818522022321337,18.788896760615234,19.007559778271023,19.15333512337488
76,1631101,3,18.90152994654144,17.876675699506723,18.908967578490728,0.33370120388791524,19.07392768727189,19.17736633171016,19.24632542800234
77,1631105,2,18.295055628580585,20.850443253292653,18.295055628580585,3.5698489859015488,19.557187841452038,20.31446716917491,20.81932005432349
78,1631110,6,17.512314785361923,21.672349928267185,17.84192267299554,1.5764502664417355,18.79501905927167,19.63845425296013,20.13164275637519
79,1631114,1,18.980292451413625,17.166061808818316,18.980292451413625,,18.980292451413625,18.980292451413625,18.980292451413625
80,1631119,5,18.02467389358508,16.010369037388884,16.885738214634664,2.7624305613556324,18.21973493603381,18.715747391325984,19.04642236152077
81,1631126,1,17.636630794926578,20.290839258292674,17.636630794926578,,17.636630794926578,17.636630794926578,17.636630794926578
82,1631172,2,14.73877157457113,12.908003486053842,14.73877157457113,4.141741324860487,16.203098262935832,17.081694275954654,17.667424951300536
83,1631200,4,17.571529606585436,20.290839258292674,17.39253615721996,0.4729286904514687,17.622829246007615,17.689727298789556,17.734326000644185
84,1631217,1,18.63612023795132,20.19079117071552,18.63612023795132,,18.63612023795132,18.63612023795132,18.63612023795132
85,1631221,1,12.559529772544725,18.266495547507443,12.559529772544725,,12.559529772544725,12.559529772544725,12.559529772544725
86,1631222,9,18.28076574496945,19.44328256877589,18.014614119593865,1.3446774973452547,18.39404000000002,19.19743606796088,19.86432653980487
87,1631245,1,18.53794447220926,15.711381220835015,18.53794447220926,,18.53794447220926,18.53794447220926,18.53794447220926
88,1631246,1,17.17110444916109,18.406260562399737,17.17110444916109,,17.17110444916109,17.17110444916109,17.17110444916109
89,1631248,3,18.520719677432016,18.439742525347835,18.137653841602766,0.7533546647978102,18.571609846169473,18.602143947411946,18.62250001490693
90,1631321,6,16.467833788060304,19.03049590134216,17.669751131233916,2.9119846615863327,18.35881491571559,20.910718262385906,23.0590731652537
91,1641705,2,20.624633449797763,20.463542619510964,20.624633449797763,2.3028580598107045,21.438816724898885,21.927326689959557,22.253000000000007
92,1641707,5,18.550586353995936,20.290839258292674,18.058981661901832,2.4563615352520287,19.53271422472313,20.005655755801882,20.320950109854383
93,1641709,2,18.81833536320623,19.685496475570385,18.81833536320623,0.431426836532278,18.970867784055148,19.0623872365645,19.123400204904065
94,1641716,6,17.137377357366294,18.586202732726186,16.57297730827332,2.6666056244729246,18.358941409623316,18.631693482226677,18.761811407261305
95,1641718,3,14.90577507590025,18.8186755961288,15.925742677653274,2.0066796043984167,16.571654851359323,17.571182716634766,18.237534626818395
96,1641722,1,17.240752041376044,20.290839258292674,17.240752041376044,,17.240752041376044,17.240752041376044,17.240752041376044
97,1641729,1,18.37843004611544,20.3075561689604,18.37843004611544,,18.37843004611544,18.37843004611544,18.37843004611544
98,1641733,1,15.999337875346798,19.141499981145014,15.999337875346798,,15.999337875346798,15.999337875346798,15.999337875346798
99,1641739,5,16.360701228634422,19.2827733298056,16.46795078223028,1.5763082757913212,17.30866352737836,18.022469888201467,18.49834079541687
100,1641765,2,18.88846822384001,19.328230682387247,18.88846822384001,0.23146335408887775,18.970302877476225,19.019403669657954,19.05213753111244
101,1641767,6,16.748069360086397,18.31669808982943,16.834586731673305,0.9998857371403824,17.026711090135343,17.849402395495044,18.59751927017629
102,1641775,1,17.559279244396055,19.859939310635035,17.559279244396055,,17.559279244396055,17.559279244396055,17.559279244396055
103,1641842,4,16.77809067909942,19.901593499673048,17.012043189573394,0.7368243535207596,17.238900837991054,17.73445738971616,18.06482842419956
104,1642261,3,16.31482516942632,15.498043610848269,16.33467846561986,2.8064308355891283,17.732904225401427,18.583751658986493,19.150983281376536
105,1642264,2,18.234441876178494,17.979624311958965,18.234441876178494,2.483155746210033,19.11237000962222,19.63912688968846,19.99029814306595
106,1642268,4,17.65101815556899,18.26825837370864,16.836637303956635,1.9870610870372007,17.91508154535247,18.061015179388797,18.158304268746345
107,1642271,4,16.438104772240415,16.617922802025035,16.317919610198956,1.7495620899235793,17.663820586491287,17.880923939623447,18.025659508378222
108,1642274,4,18.075668513633648,22.31764111387349,18.001082126604327,1.1190971693791103,18.529967862017102,18.978523144806847,19.27756000000001
109,1642285,1,14.409731953271834,15.391131596920069,14.409731953271834,,14.409731953271834,14.409731953271834,14.409731953271834
110,1642346,2,19.80421286066191,19.848903200567285,19.80421286066191,1.7418341647358264,20.420044235455464,20.789543060331596,21.03587561024902
111,1642349,2,17.200568056161195,20.388757897340643,17.200568056161195,1.1588048556060722,17.610267441896674,17.85608707333796,18.01996682763215
112,1642355,2,15.201741339923096,17.885569134807746,15.201741339923096,2.198992718455305,15.97920267142289,16.445679470322766,16.756664002922683
113,1642366,1,17.53570330650088,18.027540845903506,17.53570330650088,,17.53570330650088,17.53570330650088,17.53570330650088
114,1642377,6,17.664397006522126,16.452246356170953,18.138977902284267,2.130972800158131,19.18234669159407,20.479189114254147,21.33304930638285
115,1642383,2,17.17513141281922,17.69680196428028,17.17513141281922,0.24817643004623244,17.262875031127397,17.315521202112308,17.350618649435578
116,1642450,1,18.516060342329933,17.00239919051474,18.516060342329933,,18.516060342329933,18.516060342329933,18.516060342329933
117,1642846,1,20.37313802442731,18.48523894437905,20.37313802442731,,20.37313802442731,20.37313802442731,20.37313802442731
118,1642847,1,15.57391262038406,19.401888209864627,15.57391262038406,,15.57391262038406,15.57391262038406,15.57391262038406
119,1642851,2,16.258595098953936,17.703997837524884,16.258595098953936,1.0735588864997514,16.638155483277465,16.86589171387158,17.01771586760099
120,1642852,3,17.792736844448477,20.33245831960525,17.765208117650086,0.16409729928642539,17.853268422224236,17.889587368889693,17.913799999999995
121,1642853,1,16.498498261356087,18.15652800000016,16.498498261356087,,16.498498261356087,16.498498261356087,16.498498261356087
122,1642876,3,19.50330924811241,20.290839258292674,18.78057774317818,1.3306621810952264,19.54839480744475,19.575446143044157,19.593480366777094
123,1642883,2,15.640265270665218,18.340321175491663,15.640265270665218,0.3328167404219386,15.757933757687596,15.828534849901024,15.875602244709974
124,1642907,2,15.14808806418111,19.30204495709229,15.14808806418111,2.1693251723698763,15.915060334171818,16.375243696166244,16.682032604162526
125,1642954,4,17.840878111097226,18.66350027816957,18.008663054039854,0.6980350857975133,18.32235176716967,18.699848643705604,18.95151322806289
126,1642959,2,16.524661746183206,20.290839258292674,16.524661746183206,1.6532325434684474,17.10916771736562,17.45987130007507,17.69367368854803
127,1642964,3,18.36297785167933,20.290839258292674,17.658856284286966,1.6626908117565578,18.608304472227402,18.75550044455625,18.85363109277548
128,1643007,1,18.93157788867888,20.290839258292674,18.93157788867888,,18.93157788867888,18.93157788867888,18.93157788867888
