game_id,period,gc_seconds,defender_id,defender_name,shooter_id,shooter_name,n_intrusion_episodes,max_episode_score,total_contact_frames,max_intrusion_depth,primary_joint,cvi_landing_space_flag,violation_type
22500379,3,600.0,203994,Jusuf Nurkić,203935,Marcus Smart,1,0.0,4,0.0132,j_lWrist,False,Clean
22500379,3,521.0,1642846,Ace Bailey,1629029,Luka Dončić,1,0.0,5,0.0123,j_rWrist,False,Clean
22500379,3,432.0,2544,LeBron James,1642271,Kyle Filipowski,1,0.0,4,0.1517,j_lElbow,False,Clean
22500379,3,358.0,1629029,Luka Dončić,1642268,Isaiah Collier,3,0.0,16,0.0846,j_lWrist,False,Clean
22500379,3,275.0,201567,Kevin Love,1629637,Jaxson Hayes,14,0.0,132,0.1711,j_lElbow,False,Clean
22500379,3,256.0,1629029,Luka Dončić,1641707,Taylor Hendricks,3,0.0,12,0.0537,j_lWrist,False,Clean
22500379,3,80.0,1642268,Isaiah Collier,1629020,Jarred Vanderbilt,2,0.001,2,0.0257,j_rElbow,True,Crowding
22500379,3,72.0,1629029,Luka Dončić,201567,Kevin Love,3,0.0009,9,0.123,j_rElbow,True,Crowding
22500379,4,632.0,1628467,Maxi Kleber,201567,Kevin Love,7,0.0,44,0.0836,j_lElbow,False,Clean
22500379,4,607.0,1628467,Maxi Kleber,1642383,Walter Clayton Jr.,0,0.0,0,0.0,none,False,Clean
22500379,4,502.0,2544,LeBron James,1641707,Taylor Hendricks,1,0.0,3,0.0472,j_rShoulder,False,Clean
22500379,4,484.0,1641718,Keyonte George,1631222,Jake LaRavia,6,0.0001,15,0.0835,j_rElbow,True,Crowding
22500379,4,396.0,1628467,Maxi Kleber,1642268,Isaiah Collier,1,0.0004,1,0.0092,j_lHip,True,Crowding
22500379,4,386.0,1629029,Luka Dončić,1641718,Keyonte George,3,0.0,16,0.0333,j_lElbow,False,Clean
22500379,4,377.0,1641718,Keyonte George,203935,Marcus Smart,0,0.0,0,0.0,none,False,Clean
22500379,4,278.0,1641718,Keyonte George,203935,Marcus Smart,0,0.0,0,0.0,none,False,Clean
22500379,4,243.0,1642846,Ace Bailey,1629060,Rui Hachimura,3,0.0017,8,0.0804,j_lElbow,True,Crowding
22500379,4,231.0,1629637,Jaxson Hayes,1642846,Ace Bailey,2,0.0,5,0.0024,j_lWrist,False,Clean
22500379,4,122.0,1641718,Keyonte George,1631222,Jake LaRavia,6,0.0001,15,0.0835,j_rElbow,True,Crowding
22500379,4,42.0,1642846,Ace Bailey,1629060,Rui Hachimura,3,0.0017,8,0.0804,j_lElbow,True,Crowding
22500379,4,41.0,2544,LeBron James,203994,Jusuf Nurkić,3,0.0,41,0.0528,j_lElbow,False,Clean
22500379,4,37.1,1641718,Keyonte George,1629060,Rui Hachimura,0,0.0,0,0.0,none,False,Clean
22500379,4,29.4,1631222,Jake LaRavia,1641718,Keyonte George,12,0.0,56,0.0788,j_lElbow,False,Clean
22500379,4,20.4,1629029,Luka Dončić,1642271,Kyle Filipowski,0,0.0,0,0.0,none,False,Clean
22500379,4,11.4,2544,LeBron James,1642271,Kyle Filipowski,2,0.0,39,0.0451,j_lWrist,False,Clean
22500559,1,360.0,1642277,Johnny Furphy,1631248,Baylor Scheierman,0,0.0,0,0.0,none,False,Clean
22500559,1,242.0,1631248,Baylor Scheierman,1630643,Jay Huff,0,0.0,0,0.0,none,False,Clean
22500559,1,54.6,1628401,Derrick White,1630174,Aaron Nesmith,7,0.0125,34,0.1393,j_lElbow,True,Crowding
22500559,2,568.0,1627783,Pascal Siakam,1628401,Derrick White,1,0.0052,1,0.1322,j_lElbow,True,Crowding
22500559,2,459.0,1631245,Quenton Jackson,1630573,Sam Hauser,4,0.0006,11,0.0209,j_lWrist,True,Crowding
22500559,2,373.0,1641716,Jarace Walker,1629014,Anfernee Simons,2,0.0,14,0.0988,j_rElbow,False,Clean
22500559,2,367.0,1627783,Pascal Siakam,1631248,Baylor Scheierman,7,0.0001,62,0.1609,j_rWrist,True,Crowding
22500559,4,608.0,1630573,Sam Hauser,1641716,Jarace Walker,5,0.0025,16,0.1667,j_rWrist,True,Crowding
22500559,4,576.0,1629674,Neemias Queta,1631245,Quenton Jackson,1,0.0005,1,0.0127,j_lElbow,True,Crowding
22500559,4,500.0,204456,T.J. McConnell,1641775,Jordan Walsh,4,0.001,13,0.0846,j_lShoulder,True,Crowding
22500559,4,220.0,1629674,Neemias Queta,1641716,Jarace Walker,5,0.0001,24,0.1276,j_rWrist,True,Crowding
22500559,4,5.1,1630202,Payton Pritchard,1629614,Andrew Nembhard,0,0.0,0,0.0,none,False,Clean
22500676,1,191.0,1628991,Jaren Jackson Jr.,1642883,Sion James,0,0.0,0,0.0,none,False,Clean
