game_id,period,gc_seconds,event_num,foul_category,offensive_player_id,defensive_player_id,team_abbr,pbp_description,osi_leg_kick,osi_brakecheck,osi_any,max_lateral_dev_in,personal_threshold_in,deviation_z_score,max_deceleration_fps2,decel_threshold_fps2,defender_distance_ft,defender_in_cylinder,n_frames,peak_frame_id,offensive_player_name,defensive_player_name,jump_into_lateral_ft,jump_into_defender_dist_ft,osi_jump_into
22500005,4,368.0,653,personal,1630174,1629652,OKC,Foul: Personal,False,False,False,15.95438097046316,18.531173173558155,0.281666252115873,17.929969628106125,41.694168043770674,7.7991025124689815,False,377,-1,Aaron Nesmith,Luguentz Dort,,,False
22500005,4,354.0,661,shooting,1628392,1628396,IND,Foul: Shooting,False,False,False,18.20839999999999,21.21119990633805,0.1758281386831316,-0.0,41.694168043770674,2.8439585088393966,True,534,-1,Isaiah Hartenstein,Tony Bradley,17.510023029945778,6.276822444517608,False
22500005,4,339.0,665,shooting,1630167,1631096,OKC,Foul: Shooting,True,False,True,21.049750058621854,18.58749767832515,2.948568741571448,77.17790864954732,41.694168043770674,3.3800000000000003,False,182,409126,Obi Toppin,Chet Holmgren,24.93120473930288,9.537069780598232,False
22500005,4,202.0,687,shooting,1628983,1631097,IND,Foul: Shooting,False,False,False,15.354800000000024,19.203242092573674,-0.4043785475946786,24.70458892341429,41.694168043770674,3.7442222156277003,False,330,-1,Shai Gilgeous-Alexander,Bennedict Mathurin,6.28571869147925,5.3835768778759,False
22500005,4,190.0,693,shooting,1630167,1628983,OKC,Foul: Shooting,True,False,True,19.076611457804148,18.58749767832515,1.949982425217892,20.431460150480536,41.694168043770674,11.68593171296153,False,358,450810,Obi Toppin,Shai Gilgeous-Alexander,17.082408503578495,6.899572450521846,False
22500005,4,177.0,699,shooting,1629652,1631097,IND,Foul: Shooting,True,False,True,20.257374812378867,18.454054701399382,2.299029556928193,0.6473532020214061,41.694168043770674,1.416827441857335,True,543,454376,Luguentz Dort,Bennedict Mathurin,17.262420229870923,4.3302886739800615,False
22500005,4,142.0,704,personal,1631096,1631097,IND,Foul: Personal,False,True,True,19.208774871253063,18.472447853909287,1.294677398070598,94.11930525693788,41.694168043770674,1.802276338412064,True,181,-1,Chet Holmgren,Bennedict Mathurin,,,False
22500005,4,74.0,715,shooting,1641716,1631096,OKC,Foul: Shooting,False,False,False,16.33576469735475,18.586202732726186,0.3847071048614592,59.90951602289,41.694168043770674,3.888302971734586,False,180,-1,Jarace Walker,Chet Holmgren,27.549575024593025,18.30587337441183,False
22500005,4,13.0,725,personal,1630167,1628983,OKC,Foul: Personal Take,False,False,False,15.797551932879426,18.58749767832515,0.2904821900384489,1.7165159810264006,41.694168043770674,2.286591349585668,True,449,-1,Obi Toppin,Shai Gilgeous-Alexander,,,False
22500005,5,272.0,747,personal,1642349,1631097,IND,Foul: Personal,False,True,True,16.381169284690245,20.388757897340643,-0.5388718585034677,90.28863480571636,41.694168043770674,7.651953998816247,False,299,-1,Ajay Mitchell,Bennedict Mathurin,,,False
